job_num,msg_size,avg_latency
1,10485760,176188.520925
2,10485760,273778.005000
3,10485760,385212.853143
4,10485760,487033.187715
5,10485760,596448.326016
6,10485760,723626.867884
7,10485760,813019.276760
8,10485760,929098.379527
9,10485760,1118768.548010
10,10485760,1218664.718092
11,10485760,1755098.982678
12,10485760,1545015.219121
13,10485760,1804653.618404
14,10485760,1825131.479048
15,10485760,1859829.300994
16,10485760,1959614.424328
17,10485760,3254450.431520
18,10485760,3571422.736200
19,10485760,2989112.487032
20,10485760,5446593.331985
21,10485760,4186404.268484
22,10485760,2867615.960081
23,10485760,3636124.223260
24,10485760,5945491.783226
25,10485760,8088636.127490
26,10485760,6975820.068591
27,10485760,7267643.014368
28,10485760,6091681.890291
29,10485760,5696250.166238
30,10485760,4675452.104034
31,10485760,6934486.361752
32,10485760,10079953.801500
1,20971520,359614.731464
2,20971520,575187.080753
3,20971520,783530.278157
4,20971520,985725.457682
5,20971520,1232417.178123
6,20971520,1475015.370499
7,20971520,1794407.305773
8,20971520,2052598.271150
9,20971520,2454636.539549
10,20971520,2829590.194844
11,20971520,4902040.298713
12,20971520,3155892.596732
13,20971520,3397265.064319
14,20971520,3850028.218348
15,20971520,4169234.171614
16,20971520,7659145.030375
17,20971520,3895024.053330
18,20971520,8682783.784744
19,20971520,11365334.590520
20,20971520,9201194.255509
21,20971520,12502824.286257
22,20971520,6997489.826592
23,20971520,7092433.596872
24,20971520,16178809.279112
25,20971520,21114372.304080
26,20971520,8873756.232053
27,20971520,19037325.250925
28,20971520,16000944.493340
29,20971520,14740047.707862
30,20971520,19684339.927733
31,20971520,17930278.781200
32,20971520,29502699.364000
